alloy_rep_id,alloy_cnt.x,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,toughness,young_mod,frac_stress,gcv,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt.y
0.3_0_0_0_0.7_1,52,2.69756859995488,-3.09665819214394,8.02440956716068,4.33636219009377,-0.286809412523267,-0.0394910056500247,-0.00270918357529383,-0.00635489162905641,0.359755771214089,377.854155997509,14.7195836758985,1.5241675143004,MoW,0.3,0,0,0,0.7,1,100,52
0.3_0_0_0_0.7_2,52,2.70076614085148,-3.09665819214395,8.02371725412255,4.33601171422697,-0.285882852731502,-0.037897984729164,-0.000914246744298147,-0.00482064926963444,0.359721736718928,377.544423694997,14.733651614752,1.52364245042798,MoW,0.3,0,0,0,0.7,2,100,52
0.3_0_0_0_0.7_3,52,2.69014636907179,-3.11002141995612,7.93477991568853,4.29777455049805,-0.273209125164268,-0.0353699637327092,-0.000348222952436318,-0.00472043943293478,0.35096464275577,377.534630572338,14.6142624163544,1.51561809196774,MoW,0.3,0,0,0,0.7,3,100,52
0.428571428571429_0.21428571428571_0.0714285714285714_0.0714285714285714_0.214285714285714_1,37,2.51221835424451,-3.0878475624618,6.89677620273784,3.42924326642218,-0.266393073554095,-0.038328317460093,-0.00408056054785644,-0.00454292481693265,0.31197356000376,301.71366526899,12.0837696041526,4.12533053542418,MoNbTaVW,0.428571428571429,0.21428571428571,0.0714285714285714,0.0714285714285714,0.214285714285714,1,17,37
0.428571428571429_0.21428571428571_0.0714285714285714_0.0714285714285714_0.214285714285714_2,37,2.50694615414989,-3.08784756246178,6.89312190756521,3.42449956574333,-0.270116262827183,-0.0433078755788044,-0.00739902045068315,-0.00718360981139341,0.311815446866456,301.937772362166,12.034635064208,4.13704775375935,MoNbTaVW,0.428571428571429,0.21428571428571,0.0714285714285714,0.0714285714285714,0.214285714285714,2,17,37
0.428571428571429_0.21428571428571_0.0714285714285714_0.0714285714285714_0.214285714285714_3,37,2.49927492466836,-3.11002141995611,6.7610897208099,3.38910221546139,-0.248481308762678,-0.0365390410983622,-0.0097352801453527,-0.00535159681886467,0.299070020953907,301.463073269163,11.904197952207,4.02180065719764,MoNbTaVW,0.428571428571429,0.21428571428571,0.0714285714285714,0.0714285714285714,0.214285714285714,3,17,37
0.468262892970793_0.205354348088931_0.0988444935627599_0.168163171984643_0.0593750933928729_1,36,2.47756096298069,-3.09665819214396,6.6175089970696,3.28989587644671,-0.226626637114013,-0.0426333567881901,-0.000744950248837071,-0.00985667045049271,0.296664825401032,288.961544517986,11.6345908986718,4.18186510455838,MoNbTaVW,0.468262892970793,0.205354348088931,0.0988444935627599,0.168163171984643,0.0593750933928729,1,15,36
0.468262892970793_0.205354348088931_0.0988444935627599_0.168163171984643_0.0593750933928729_2,36,2.47535566346522,-3.09665819214396,6.63468933501566,3.2883360893405,-0.227952792149206,-0.0419814920363897,-0.00182669288342434,-0.0110959173331851,0.297436904606744,289.410876128475,11.641295681138,4.18373349506894,MoNbTaVW,0.468262892970793,0.205354348088931,0.0988444935627599,0.168163171984643,0.0593750933928729,2,15,36
0.468262892970793_0.205354348088931_0.0988444935627599_0.168163171984643_0.0593750933928729_3,36,2.47919326936713,-3.09665819214394,6.61966486371717,3.29091936916149,-0.22602055271384,-0.0398627422004863,0.00283873341238573,-0.00657605280094801,0.296756792306422,288.562059050023,11.6660675798657,4.17678365769527,MoNbTaVW,0.468262892970793,0.205354348088931,0.0988444935627599,0.168163171984643,0.0593750933928729,3,15,36
0.471211344493835_0.393716987664529_0.028239730499606_0.0173855623909212_0.0894463749511089_1,35,2.37815616330509,-3.00780485478827,6.17720332741677,3.06831059039617,-0.297696861585388,-0.054682779445106,-0.00995672541220561,-0.0129190327701742,0.302956863753676,259.872526302635,10.5960714722174,3.11131575933127,MoNbTaVW,0.471211344493835,0.393716987664529,0.028239730499606,0.0173855623909212,0.0894463749511089,1,2,35
